,Team,Points,Cost
,Bournemouth,4,3.9
,Burnley,0,3.9
,Sheffield Utd,0,3.9
,Southampton,0,3.9
,Watford,0,3.9
,Watford,1,3.9
,West Ham,0,3.9
,Wolves,5,3.9
,Norwich,0,3.9
,Watford,1,3.9
,Chelsea,0,3.9
,Norwich,0,3.9
,Burnley,0,3.9
,Crystal Palace,0,3.9
,Liverpool,0,3.9
,Leicester,0,3.9
,Newcastle,0,3.9
,Wolves,0,3.9
,Liverpool,186,12.7
,Liverpool,175,12.5
,Man City,118,11.7
,Man City,178,10.6
,Spurs,122,9.7
,Man City,0,9.3
,Arsenal,88,9.3
,Spurs,48,8.6
,Man Utd,38,8.6
,Man City,121,8.5
,Everton,133,8.3
,Man Utd,17,8.3
,Spurs,114,8.3
,Man Utd,122,8
,Man City,86,7.7
,Leicester,119,7.5
,Spurs,22,7.4
,Arsenal,53,7.3
,Everton,69,7.3
,Man City,90,7.3
,Spurs,25,7.3
,Spurs,76,7.1
,Chelsea,113,7
,West Ham,45,6.9
,Chelsea,70,6.9
,Bournemouth,73,6.8
,Chelsea,30,6.8
